page,sheet_row,symbol,class,finding,evidence,proposed_action
Global_Markets,64,MAG.US,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=34.7; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; recom,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,65,STEC.BK,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=0; quote_current_price_missing; quote_exchange_missing; quote_currency_missing; empty_row_no_,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,66,JUMBO.AT,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=0; quote_current_price_missing; quote_exchange_missing; quote_currency_missing; empty_row_no_,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,67,GATO.US,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=0; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; empty,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,68,INE.TO,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=0; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; empty,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,69,SKX.US,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=34.7; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; recom,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,70,LC.US,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=34.7; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; recom,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,71,AXL.US,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=34.7; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; recom,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,72,SNV.US,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=34.7; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; recom,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,73,SPR.US,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=34.7; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; recom,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,74,SEMR.US,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=34.7; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; recom,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,75,SEV.PA,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=0; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; empty,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,76,TAG.DE,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=0; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; empty,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,77,PDCO.US,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=0; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; empty,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,78,KOZAL.IS,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=0; quote_current_price_missing; quote_exchange_missing; quote_currency_missing; empty_row_no_,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,79,ATST.L,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=0; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; empty,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,80,4485.T,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=0; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; empty,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,81,2899.T,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=0.00; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; empty,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,82,ENLC.US,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=0.00; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; empty,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,83,NUVA.US,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=0.00; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; empty,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,84,7732.T,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=0.00; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; empty,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,85,STM.PA,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=0.00; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; empty,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,86,BDEV.L,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=0.00; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; empty,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,87,WTAN.L,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=0.00; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; empty,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,88,SEM.US,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=34.70; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; recom,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,89,BLD.US,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=34.70; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; recom,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,91,7205.T,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=0.00; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; empty,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,92,TRTN.US,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=0.00; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; empty,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,93,6641.T,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=0.00; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; empty,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,94,HL.L,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=0.00; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; empty,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,95,VRTX2X.US,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=0.00; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; empty,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,96,PE&OLES.MX,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=0; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; empty,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,97,TOP.CO,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=0; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; empty,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,98,AZPN.US,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=0; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; empty,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,99,CEIX.US,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=0; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; empty,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,100,GES.US,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=34.70; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; recom,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,101,SILK.US,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=0.00; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; empty,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,102,CSWI.US,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=0; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; empty,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,103,TGI.US,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=0; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; empty,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,104,GPS.US,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=0; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; empty,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,105,SILV.US,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=0; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; empty,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,106,SATS.US,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=34.70; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; recom,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,107,KOZAA.IS,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=0; quote_current_price_missing; quote_exchange_missing; quote_currency_missing; empty_row_no_,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,108,SMDS.L,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=0; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; empty,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,109,6755.T,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=0.00; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; empty,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,110,BSIG.US,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=0; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; empty,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,111,ZI.US,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=0; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; empty,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,112,IPL.AX,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=0; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; empty,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,113,BBGI.L,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=0; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; empty,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,114,9062.T,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=0; quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; empty,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,115,STM.MI,DEAD_SYMBOL,"no price, no name, BLOCKED",DQ=0; fetch_failed:HTTP 404 not_found; empty_row_no_provider_data; low_data_trust; analyst_trend,delete row if still blank on the 09-06 export (2-run rule)
Global_Markets,1012,YUM,BARE_TWIN,duplicate of YUM.US (bare row takes the degraded path),P-63/P-52,delete the bare row; keep the .US row
Global_Markets,4345,FCX,BARE_TWIN,duplicate of FCX.US (bare row takes the degraded path),P-63/P-52,delete the bare row; keep the .US row
Global_Markets,6011,OTIS,BARE_TWIN,duplicate of OTIS.US (bare row takes the degraded path),P-63/P-52,delete the bare row; keep the .US row
Global_Markets,118,WSR.US,STALE_1D,last updated 09-04 (preserved),quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; price,monitor; delete if stale 3 runs
Global_Markets,119,EEX.US,STALE_1D,last updated 09-04 (preserved),quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; price,monitor; delete if stale 3 runs
Global_Markets,120,INHD.US,STALE_1D,last updated 09-04 (preserved),quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; sanit,monitor; delete if stale 3 runs
Global_Markets,121,Z74.SI,STALE_1D,last updated 09-04 (preserved),quote_current_price_missing; quote_exchange_missing; quote_currency_missing; price_unverif,monitor; delete if stale 3 runs
Global_Markets,122,GARAN.IS,STALE_1D,last updated 09-04 (preserved),quote_current_price_missing; quote_exchange_missing; quote_currency_missing; price_unverif,monitor; delete if stale 3 runs
Global_Markets,123,SON.LS,STALE_1D,last updated 09-04 (preserved),quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; intri,monitor; delete if stale 3 runs
Global_Markets,124,8725.T,STALE_1D,last updated 09-04 (preserved),quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; intri,monitor; delete if stale 3 runs
Global_Markets,126,2531.T,STALE_1D,last updated 09-04 (preserved),quote_exchange_from_suffix; quote_currency_from_suffix; quote_current_price_missing; price,monitor; delete if stale 3 runs
Global_Markets,4655,FTFT.US,STALE_1D,last updated 09-04 (preserved),identity_quarantined:kept_last_good:v6.25.1,monitor; delete if stale 3 runs
Commodities_FX,17,SHIB-USD,UNPRICED,no provider price (EODHD lacks it),quote_current_price_missing; quote_exchange_missing; quote_currency_missing; yahoo_enrichm,"delete, or replace with a priced alias if one exists"
Commodities_FX,18,UNI-USD,UNPRICED,no provider price (EODHD lacks it),quote_current_price_missing; quote_exchange_missing; quote_currency_missing; yahoo_enrichm,"delete, or replace with a priced alias if one exists"
Commodities_FX,24,ARB-USD,UNPRICED,no provider price (EODHD lacks it),quote_current_price_missing; quote_exchange_missing; quote_currency_missing; yahoo_enrichm,"delete, or replace with a priced alias if one exists"
Commodities_FX,30,APT-USD,UNPRICED,no provider price (EODHD lacks it),quote_current_price_missing; quote_exchange_missing; quote_currency_missing; yahoo_enrichm,"delete, or replace with a priced alias if one exists"
Commodities_FX,50,COMP-USD,UNPRICED,no provider price (EODHD lacks it),quote_current_price_missing; quote_exchange_missing; quote_currency_missing; yahoo_enrichm,"delete, or replace with a priced alias if one exists"
